repo_full_name,predict,Truth,correct
MrGerkins,1,1,1
puppet-logstash,1,1,1
es6-promise,1,1,1
anvil-build,1,1,1
spfjs,1,1,1
generator-oraclejet,1,1,1
otto-intellij-plugin,1,0,0
python-zxcvbn,1,1,1
scripts,0,1,0
uchiwa-web,1,0,0
hetero-streams,1,1,1
intellij-deps-commons-imaging,1,1,1
go-webdav,0,0,1
zan-installer,1,1,1
seifrng,1,1,1
contrail-python-api,1,0,0
gobeansproxy,1,1,1
MPMessagePack,1,1,1
parameter-framework,1,1,1
hogan.js,1,1,1
code-scanning-javascript-demo,1,1,1
express-normalized,1,1,1
shepherd,1,1,1
certificate-transparency-java,1,1,1
macops-MOLFCMClient,1,1,1
SparkADMM,1,0,0
DotCi,1,1,1
email-parser,1,1,1
corelibs-edison,1,1,1
node-kms,1,1,1
fire-app-builder,1,1,1
webapps-sweetspot,1,0,0
logtron,1,1,1
css,1,1,1
mime-types,1,0,0
norbert,1,1,1
appengine-jenkins,1,0,0
arduino101_openocd,1,0,0
mobilists,1,1,1
atg-build-tools,1,1,1
conferenceDB,1,0,0
demos,0,1,0
torch-distro,1,0,0
acme,1,1,1
beacon-platform,1,1,1
appengine-codiad,1,0,0
citrix.github.io,1,1,1
paradox-tester,1,1,1
BXT,1,1,1
python-subprocess32,1,1,1
rides-python-sdk,1,1,1
python-avro-json-serializer,1,1,1
cstruct,1,1,1
paypal-here-ios-nimbus,1,1,1
ProgrammingProjectList,1,1,1
adt-tools-base,1,1,1
s6-setuptools,1,1,1
jpush-api-ruby-client,1,1,1
translation-cards,1,0,0
vtune-perf-numactl,1,1,1
jchat-web,0,1,0
Kotlin.TeamCity,0,1,0
data-import,1,0,0
adb-sync,1,1,1
aegisthus,1,1,1
github_flo,1,1,1
tiff,1,0,0
apple-tv-auth,1,1,1
teamcity-nunit-samples,1,1,1
kafkat,1,0,0
ccp-docker-opencontrail,1,0,0
xoc,1,1,1
vizceral-react,1,1,1
woff2,1,1,1
ReactiveLab,1,1,1
contrail-third-party,1,1,1
Kenshin,1,1,1
adaptivepayments-sdk-java,1,1,1
hpack,1,1,1
graphql-relay-walker,1,1,1
testium,1,1,1
releasinator,1,1,1
intellij-sbt,1,1,1
syzygy,1,1,1
k8s-netchecker-agent,1,1,1
mod_statuspage,1,1,1
traceout,1,1,1
sbt-tc-logger,1,1,1
generator-lego,1,0,0
redis-migrate-tool,1,1,1
redischeck,1,0,0
puppetlabs-haproxy,1,1,1
amazon-instant-access-sdk-java,1,1,1
QT4i,1,1,1
cellular-resource-manager,1,0,0
sshmap,0,1,0
rds-tools,1,1,1
bzip2-rpc,1,0,0
yelp_encodings,1,1,1
dotpeek-nupeek,1,1,1
pypicloud,1,0,0
go-curl,1,1,1
jasy,1,1,1
FuriganaTextView,1,0,0
BabelBot,1,1,1
seifnode,1,1,1
shaky-android,1,1,1
gnomon,1,0,0
ycb,1,1,1
kernel-fuzzing,1,0,0
ctv-devicecommunication-tools,1,1,1
gjstest,1,1,1
enjarify,1,1,1
checkprovider,1,0,0
fast_tffm,1,1,1
github-graphql-rails-example,1,1,1
Chrome.Docs,1,0,0
hal-9001,1,1,1
arc-proselint,1,0,0
cordova-plugin-intel-xdk-camera,1,1,1
hubot-scripts,1,0,0
PyHive,1,1,1
emclient-u3d,1,1,1
swift-protobuf-plugin,1,1,1
libmei,1,1,1
rails-auth,1,1,1
wear-displaylock,1,1,1
HujiangTechnology.github.io,0,0,1
pinject,1,1,1
node-nano-doc-updater,1,1,1
cpuinfo,1,1,1
pyleus,1,0,0
polyglot.js,1,1,1
awesome-ios-cn,1,1,1
hecate,1,1,1
bsd-cloudinit,1,1,1
pomelo-rpc,1,1,1
ipn-code-samples,1,1,1
us-altgr-intl,1,1,1
tiny-loader.js,1,1,1
tblive,1,0,0
awesome-sysadmin-cn,1,1,1
highlightjs-android,1,1,1
nanopb-podspec,1,1,1
falcor-path-utils,1,1,1
encrypted-bigquery-client,1,1,1
WebImageView,1,0,0
puppet-hash_file,0,1,0
iuap-design.github.io,1,1,1
zan_high_performance_mysql,1,0,0
ironic-driver-oneview,1,1,1
rubygems-mirror,1,0,0
Gibberish-Detector-Java,1,1,1
teamcity-local-cloud,1,1,1
raven,1,1,1
ct-hackday-schwag,1,1,1
gold-wechat-collection-ranking,1,0,0
cornerstoneMath,1,1,1
dart-sync-socket,1,1,1
integration-tests-vm-scripts,1,1,1
cacti,1,1,1
coursebuilder-resources,1,1,1
dart-sync-webdriver,1,1,1
invoice-sdk-java,1,1,1
google-authenticator,1,1,1
ocelli,1,0,0
js-shims,1,1,1
uncaught-exception,1,1,1
RoundedImageView,1,1,1
torch-android,1,1,1
node-infosvr-commons,1,1,1
medium-sdk-go,1,1,1
scipy,0,0,1
chartjs.dart,1,1,1
unimorph,1,1,1
py3270,1,1,1
AppUpdateTrackerLib,1,0,0
dockersh,1,1,1
sh.js,1,0,0
watson-murder-mystery,1,1,1
stepler-draft,1,0,0
macops-MOMenu,1,0,0
wordpress,1,1,1
Citrix-Desktop-Notification-Tool-for-Xendesktop,1,0,0
jenkins_api_client,1,1,1
amazon-instant-access-sdk-net,1,1,1
buttonmanager-sdk-java,1,1,1
grafika,1,1,1
dotpeek-console,1,1,1
elasticsearch-concatenate-token-filter,1,1,1
kotlin-grammar-generator,1,1,1
yelp-api,1,1,1
foedus_code,1,1,1
iweb-tool,1,0,0
cpq-cloud-with-paas-samples,1,0,0
dnscache,1,1,1
puppet-orchestrator-for-mysql,1,1,1
mycroft,1,1,1
isaac,1,1,1
fplutil,1,1,1
PhotoView,1,1,1
cordova-plugin-oracle-idm-auth,1,1,1
yangc,1,1,1
teamcity-rust-plugin,1,1,1
tsf,1,1,1
unleash,1,1,1
ot-crdt-papers,1,1,1
amazon-advertising-api-php-sdk,1,1,1
k8srnd-sockshop-shipping,1,1,1
babel-plugin-dynamic-import-node,1,1,1
pysensu-yelp,1,1,1
LayoutTest-iOS,1,1,1
runway-compiler,1,1,1
remarkable,1,1,1
language-runway,1,1,1
api-samples,1,1,1
gohan_webui,1,0,0
Unity3dRider,1,1,1
mathfu,1,1,1
ndu,1,1,1
MariaDB4j,1,1,1
tuning-box,1,0,0
dleyna-core,1,1,1
csa-ce,0,0,1
jps-javac-extension,1,1,1
slash,1,1,1
bazel_essentials,1,1,1
initsearchtool,1,1,1
puppet-macdefaults,1,1,1
gpstall,1,1,1
elsy,1,1,1
paradox-publisher,1,1,1
PayPal-node-SDK,1,1,1
kokkos,1,1,1
babel,0,0,1
github-ldap,1,1,1
git-split,1,1,1
rend,1,1,1
vectorio,1,0,0
buttonmanager-sdk-ruby,1,1,1
sparrowhawk,1,1,1
twitter-cldr-js,1,1,1
datagraph,1,0,0
go-units,1,1,1
Accessibility-Test-Framework-for-Android,1,1,1
notary-official-images,1,1,1
gradle-python-envs,1,1,1
tinper-neoui-tree,1,1,1
BCT,1,1,1
active_record-sql_analyzer,1,1,1
bossbat,1,1,1
zantcpdemo,1,1,1
go-querystring,1,1,1
tegra-nouveau-rootfs,1,1,1
nugget,1,1,1
devspaces-jiralint,1,1,1
Diplomat,1,1,1
netflix.github.com,1,1,1
python-skeletons,1,1,1
k8srnd-sockshop-user,1,1,1
wmail-user-scripts,1,1,1
roskomnadzor,1,0,0
paracel,1,0,0
yelp_bytes,1,1,1
PRBench,0,1,0
gae-secure-scaffold-python,1,1,1
interactive,1,1,1
rend-lmdb,1,0,0
web-skill-set,1,1,1
gonduit,1,1,1
pyes,0,1,0
vizceral-component,1,1,1
murphy,1,1,1
slothfs,1,1,1
variants,1,1,1
moneta,1,0,0
arduino101_flashpack,1,0,0
gofc,1,1,1
wookiee-zookeeper,1,1,1
awesome-python-books,1,1,1
sails-hook-webpack,1,1,1
tinper-sparrow,1,1,1
tern-closure,1,0,0
Huawei_LiteOS_Kernel,1,1,1
junos-snapshot-administrator,1,1,1
tegrarcm,1,1,1
gifencoder,1,1,1
protobuf,0,0,1
awesome-c-cn,1,1,1
clay,1,1,1
amqp-coffee,1,1,1
gipfeli,1,0,0
Storefront-API-Xamarin-Sample,1,0,0
ruby-openid-apps-discovery,1,1,1
safebrowsing,1,1,1
text,1,1,1
selenium-drivex,1,1,1
hdl-tools,1,1,1
celebrer-dashboard,1,0,0
contrail-web-storage,1,1,1
dynamodb-cross-region-library,1,1,1
reactivesocket-examples,0,0,1
linguist,1,1,1
python-cas,1,1,1
opensource,1,1,1
tooltipsy,1,0,0
OpenClos,1,0,0
opensource,1,1,1
teamcity-commandline,1,1,1
brillo-minnowboard-binaries,1,0,0
hostlists,1,1,1
sdk-ios-cocoapods,1,1,1
coverage,1,1,1
puppetlabs-lvm,1,0,0
yz_aerospike,1,0,0
SDN-NFV-Hands-on-Samples,1,1,1
teamcity-dotmemory,1,1,1
talkback,1,1,1
vim-searchindex,1,1,1
django-constance,1,1,1
galaxy-sdk-nodejs,1,1,1
accessible-html5-video-player,1,1,1
gwt-charts,1,0,0
spacecommander,1,1,1
assertive-as-promised,1,1,1
hsql1,1,1,1
play-licensing,1,1,1
CODK-A-X86,1,1,1
sqoop,1,1,1
docker-swift,1,1,1
libstructure,1,0,0
puppet-zookeeper,1,1,1
github-owners-bot,1,1,1
libsearpc,1,1,1
phabricator-jenkins-plugin,1,1,1
schema-inferer,1,0,0
