,organization_name,repo_full_name,contributors_num,is_fork,active_15,active_16,active_17,active_18,active_19,active_20,active_21,active_22,use_CI,ci_num
0,International Business Machines,airlytics-backend,1,False,False,False,False,False,False,False,False,True,False,
1,Qiniu Cloud,doxygen.io,1,False,True,False,False,False,False,False,False,False,True,1.0
2,Baidu,smartapp-openapi-go,2,False,False,False,False,False,False,False,False,True,False,0.0
3,Salesforce,QVR-SimpleDLM,3,False,False,False,False,False,False,False,False,True,False,
4,jobbole,awesome-nodejs-cn,1,False,False,False,False,False,False,True,False,False,False,0.0
5,DocuSign Inc.,code-examples-apex,2,False,False,False,False,False,False,False,True,True,False,0.0
6,PayPal,MrGerkins,3,False,False,True,True,True,False,False,False,False,False,0.0
7,YouTube,h5vcc,2,False,False,False,False,False,False,False,False,False,False,
8,"Netflix, Inc.",dgs,25,False,False,False,False,False,False,False,True,True,True,
9,Yelp.com,puppet-logstash,44,True,False,True,True,False,False,False,False,False,True,
10,NVIDIA Corporation,clara-platform-python-client,2,False,False,False,False,False,False,True,True,False,True,1.0
11,Apple,ml-uwac,0,False,False,False,False,False,False,False,True,False,False,
12,Google,dbm-trix-addon,1,False,False,False,False,True,False,False,False,False,False,
13,Dropbox,es6-promise,64,True,False,True,True,False,False,False,False,False,True,
14,Mastercard,client-encryption-php,6,False,False,False,False,False,True,True,True,True,True,5.0
15,Dropbox,xz,9,True,True,False,False,False,False,False,False,False,False,
16,NVIDIA Corporation,tegra-uboot-flasher-manifests,1,False,True,False,False,False,False,False,False,False,False,0.0
17,Hewlett Packard Enterprise,image-streamer-ansible,1,False,False,False,True,False,False,False,False,False,False,0.0
18,Intel Corporation,iotg-mgbe-undi-driver,2,False,False,False,False,False,False,False,False,True,False,
19,Intel Corporation,workload-collocation-agent,18,False,False,False,False,False,False,True,True,True,True,
20,Square,TTTAttributedLabel,46,True,True,False,False,False,False,False,False,False,False,
21,Google,anvil-build,2,False,True,True,True,False,False,False,False,False,True,
22,YouTube,spfjs,17,False,True,True,True,True,True,False,False,False,True,
23,"Qunar, Inc.",fe_qwebchat_admin,4,False,False,False,False,False,True,False,False,False,False,0.0
24,"Wuhan deepin Technology Co.,Ltd.",linglong-hub,4,False,False,False,False,False,False,False,False,True,True,8.0
25,"Wuhan deepin Technology Co.,Ltd.",udisks2-qt5,9,False,False,False,False,False,True,True,True,True,True,10.0
26,"Okta, Inc",okta-cli,9,False,False,False,False,False,False,False,True,True,True,5.0
27,Citrix,tech-marketing,4,False,False,False,False,False,True,True,True,False,False,0.0
28,NVIDIA Corporation,yum-packaging-nvidia-driver,6,False,False,False,False,False,True,True,True,True,False,0.0
29,haiwen,android-support-v4-preferencefragment,6,True,False,False,False,False,False,False,False,False,False,
30,Oracle,generator-oraclejet,1,False,False,True,True,True,True,False,False,False,False,
31,International Business Machines,satellite-config-upload-action,6,False,False,False,False,False,False,True,True,True,True,
32,bilibili,vlc-android-macbuild,3,False,False,False,False,False,False,False,False,False,False,0.0
33,Square,otto-intellij-plugin,7,False,True,True,False,False,False,False,False,False,False,
34,Google,customer-match-upload-script,3,False,False,False,False,False,True,True,True,True,False,
35,easemob,easecallkitui-android,6,False,False,False,False,False,False,False,True,True,False,0.0
36,Hewlett Packard Enterprise,galadriel,11,False,False,False,False,False,False,False,False,True,True,4.0
37,Juniper Networks,lighttpd-for-juise,7,True,True,False,False,False,False,False,False,False,False,
38,PayPal,gators,0,False,False,False,False,False,False,False,True,False,True,1.0
39,Dropbox,python-zxcvbn,3,False,True,True,True,True,False,False,False,False,False,
40,International Business Machines,PEMStandard-BDAwithB2Bi,2,False,False,False,False,False,False,False,False,True,False,
41,Anjuke Inc.,pinyin4py,1,False,False,False,False,False,False,False,False,False,True,1.0
42,easemob,chatOnLine-MQTT,2,True,False,False,False,False,False,False,True,False,False,
43,Google,chrome-opt-out-extension,2,False,True,False,False,False,False,False,False,False,False,
44,Oracle,cloudtestdrive,27,False,False,False,False,False,False,False,False,True,False,
45,Pivotal,scripts,1,True,True,True,True,True,True,True,True,False,False,
46,International Business Machines,data-virtualization-go-sdk,1,False,False,False,False,False,False,False,True,False,False,
47,Bytedance Inc.,open-pay-signature-go-demo,1,False,False,False,False,False,False,False,False,True,False,0.0
48,International Business Machines,probabilistic-federated-neural-matching,2,False,False,False,False,False,True,False,False,False,False,
49,Yelp.com,uchiwa-web,8,True,True,True,False,False,False,False,False,False,True,
50,International Business Machines,D2A,5,False,False,False,False,False,False,False,True,False,False,
51,JetBrains,lets-plot,16,False,False,False,False,False,False,False,False,True,True,
52,International Business Machines,ibmpairs-geoserver-extension,1,False,False,False,False,False,False,False,True,False,False,
53,International Business Machines,Project_CodeNet,15,False,False,False,False,False,False,False,True,True,False,
54,International Business Machines,api-led-integration-using-ibm-cloud-pak-for-integration,3,False,False,False,False,False,False,True,False,False,False,
55,CODING,coding-download-center,12,False,False,False,True,True,True,True,True,True,True,4.0
56,Juniper Networks,zuul-jobs,22,True,False,False,True,True,True,False,False,False,False,
57,Intel Corporation,hetero-streams,5,False,False,True,True,True,True,True,True,True,False,
58,Salesforce,pomgen,8,False,False,False,False,False,False,True,True,True,False,
59,International Business Machines,stomp,2,False,False,False,False,False,True,True,False,False,False,
60,International Business Machines,mini-era,10,False,False,False,False,False,False,True,True,False,False,
61,International Business Machines,prettier-config-ibm,2,False,False,False,False,False,False,True,False,False,False,
62,JetBrains,intellij-deps-commons-imaging,19,True,False,True,True,True,False,False,False,False,True,
63,"Okta, Inc",okta-sdk-dotnet,22,False,False,False,False,False,True,True,True,True,True,4.0
64,International Business Machines,SQL-to-Text,1,False,False,False,False,True,False,False,False,False,False,
65,International Business Machines,github-project-automation-with-cloud-functions,2,False,False,False,False,True,True,False,False,False,True,
66,Google,go-webdav,0,False,True,True,False,False,False,False,False,False,False,
67,youzan,zan-installer,4,False,False,True,True,False,False,False,False,False,False,0.0
68,PayPal,seifrng,2,False,True,True,True,False,False,False,False,False,False,0.0
69,International Business Machines,FoodTrackerBackend,12,False,False,False,True,True,True,False,False,False,False,
70,Juniper Networks,contrail-python-api,1,False,True,True,False,False,False,False,False,False,False,
71,Hewlett Packard Enterprise,pcp_exporter,3,False,False,False,True,True,False,False,False,False,True,1.0
